FeeCategoryName,ItemName,RevenueCategoryName,Amount,AmountWithNoTax,TaxTotal,OrgMemberId,OrgMemberFamilyId,MemberFullName,MembershipName,Start,End,CourtLabels,InstructorNames,PaymentType,TransactionType,TransactionId,TransactionDate,PaidDate,FamilyName,ItemCost
Reservation,Reserve Court: Doubles,Court Fees (6002),13.0,13.0,0.0,3971332,,REDACTED,Dill-uxe ($378 + Tax Includes 1 Guest Per Month),2025-06-23T20:00:00,2025-06-23T22:00:00,Court #1,,Credit Card,Fee,63072559,2025-06-17T10:24:23.76,2025-07-01T13:32:41.433,REDACTED,
Event Registration,Intermediate - 3.0 - 3.5 Open Play,Organized Play Fees (6004),17.0,17.0,0.0,6516363,,REDACTED,(MONTHLY) Bread & Butter - ($25 + Tax),2025-06-19T18:00:00,2025-06-19T20:00:00,"Court #1, Court #2, Court #3",,Credit Card,Fee,63237983,2025-06-18T20:18:25.103,2025-07-01T13:41:50.777,REDACTED,
Event Registration,Cross Club Events - Cross Club 3.5-4.0 Tryout,Court Fees (6002),20.0,20.0,0.0,4571450,,REDACTED,Bread & Butter Annual ($270 + Tax),2025-07-09T19:00:00,2025-07-09T21:00:00,Court #8,,Credit Card,Fee,63322920,2025-06-19T18:52:46.567,2025-07-09T18:25:06.757,REDACTED,
Event Registration,Cross Club Events - Cross Club 3.0-3.5 Tryout,Court Fees (6002),5.0,5.0,0.0,3948552,,REDACTED,Basic Membership w. Payment Plan,2025-06-28T09:00:00,2025-06-28T11:00:00,"Court #1, Court #2",,Credit Card,Fee,63343773,2025-06-20T00:11:20.917,2025-07-26T11:59:47.66,REDACTED,
Event Registration,Intermediate - 3.0 - 3.5 Open Play,Organized Play Fees (6004),27.0,27.0,0.0,7568242,,REDACTED,Dill-uxe ($378 + Tax Includes 1 Guest Per Month),2025-06-22T11:00:00,2025-06-22T13:00:00,"Court #5, Court #6",,Credit Card,Fee,63389841,2025-06-20T15:26:15.487,2025-07-01T13:29:46.607,REDACTED,
Event Registration,Intermediate - 3.0 - 3.5 Open Play,Organized Play Fees (6004),27.0,27.0,0.0,7386452,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-06-22T11:00:00,2025-06-22T13:00:00,"Court #5, Court #6",,Credit Card,Fee,63389842,2025-06-20T15:26:15.72,2025-07-26T12:02:52.283,REDACTED,
Event Registration,Cross Club Events - Cross Club 3.5-4.0 Tryout,Court Fees (6002),20.0,20.0,0.0,5195510,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-07-02T20:00:00,2025-07-02T22:00:00,"Court #3, Court #4, Court #5, Court #6",,Credit Card,Fee,63405440,2025-06-20T18:24:17.433,2025-07-02T19:53:04.067,REDACTED,
Event Registration,Cross Club Events - Cross Club 4.0-4.5 Tryout,Court Fees (6002),20.0,20.0,0.0,5195510,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-07-03T19:00:00,2025-07-03T21:00:00,"Court #1, Court #2",,Credit Card,Fee,63405647,2025-06-20T18:26:33.89,2025-07-03T22:16:21.87,REDACTED,
Event Registration,Cross Club Events - Cross Club (50+) 3.5-4.0 Tryout,Court Fees (6002),20.0,20.0,0.0,3707788,890597.0,REDACTED,The Founders,2025-07-13T09:00:00,2025-07-13T11:00:00,"Court #3, Court #4",,Credit Card,Fee,63414723,2025-06-20T20:25:24.087,2025-07-13T10:17:53.85,REDACTED,
Lesson,Private Lesson,Lesson Fees (6003),100.0,100.0,0.0,3892544,1079603.0,REDACTED,Dill-uxe ($378 + Tax Includes 1 Guest Per Month),2025-07-03T12:00:00,2025-07-03T13:00:00,Court #5,C. Dardani,Credit Card,Fee,63435304,2025-06-21T08:30:58.397,2025-07-03T11:51:12.973,REDACTED,
Event Registration,Low Advanced - 3.75+ Open Play,Organized Play Fees (6004),17.0,17.0,0.0,3657082,,REDACTED,The Founders,2025-06-24T18:00:00,2025-06-24T20:00:00,"Court #3, Court #4",,Credit Card,Fee,63444933,2025-06-21T10:48:36.373,2025-07-01T13:33:38.223,REDACTED,
Event Registration,Intermediate - 3.0 - 3.5 Open Play,Organized Play Fees (6004),27.0,27.0,0.0,6787129,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-06-22T11:00:00,2025-06-22T13:00:00,"Court #5, Court #6",,Credit Card,Fee,63477623,2025-06-21T17:36:15.337,2025-07-01T13:30:44.273,REDACTED,
Reservation,Reserve Court: Singles,Court Fees (6002),20.0,20.0,0.0,6330403,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-06-22T11:00:00,2025-06-22T12:00:00,Court #8,,Credit Card,Fee,63494248,2025-06-21T22:51:13.613,2025-07-01T13:29:10.243,REDACTED,
Event Registration, High Intermediate - 3.5 - 3.5+ Open Play,Organized Play Fees (6004),5.0,5.0,0.0,3633990,,REDACTED,Basic - Founders w/ Payment,2025-06-22T11:00:00,2025-06-22T13:00:00,"Court #3, Court #4",,Credit Card,Fee,63511081,2025-06-22T10:07:38.897,2025-07-01T13:30:59.173,REDACTED,
Event Registration,Intermediate - 3.0 - 3.5 Open Play,Organized Play Fees (6004),17.0,17.0,0.0,7137805,1938014.0,REDACTED,(MONTHLY) Bread & Butter - ($25 + Tax),2025-06-22T11:00:00,2025-06-22T13:00:00,"Court #5, Court #6",,Credit Card,Fee,63516102,2025-06-22T11:09:34.377,2025-07-01T13:29:52.92,REDACTED,
Event Registration,Intermediate - 3.0 - 3.5 Open Play,Organized Play Fees (6004),17.0,17.0,0.0,7442113,1938014.0,REDACTED,Sweet & Sour Gherkins (Kids U-15 $50 yearly w Active Parent Membership),2025-06-22T11:00:00,2025-06-22T13:00:00,"Court #5, Court #6",,Credit Card,Fee,63516103,2025-06-22T11:09:34.417,2025-07-01T13:29:40.597,REDACTED,
Event Registration,All Levels w/ Challenge Court - All You Can Play $15 Flat - Free with Basic and Premium Memberships,Organized Play Fees (6004),15.0,15.0,0.0,6850791,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-06-22T13:00:00,2025-06-22T15:00:00,"Court #5, Court #6, Court #7, Court #8",,Credit Card,Fee,63527798,2025-06-22T13:20:59.32,2025-07-01T13:31:12.977,REDACTED,
Event Registration,Cross Club Events - Cross Club 3.5-4.0 Tryout,Court Fees (6002),5.0,5.0,0.0,4971642,1471975.0,REDACTED,Basic Membership w. Payment Plan,2025-07-09T19:00:00,2025-07-09T21:00:00,Court #8,,Credit Card,Fee,63530183,2025-06-22T13:48:47.97,2025-07-09T18:55:50.127,REDACTED,
Reservation,"Drilling with The Titan Ball Machine $70 per HR ($2,299 Value)",Court Fees (6002),58.0,58.0,0.0,7087915,,REDACTED,Gympass- New Member,2025-06-23T21:00:00,2025-06-23T22:00:00,Court #7,,Credit Card,Fee,63626790,2025-06-23T15:08:10.727,2025-07-01T13:32:25.587,REDACTED,
Reservation,Reserve Court: Doubles,Court Fees (6002),20.0,20.0,0.0,7109401,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-06-23T19:00:00,2025-06-23T20:00:00,Court #4,,Credit Card,Fee,63650701,2025-06-23T18:58:58.033,2025-07-01T13:32:10.56,REDACTED,
Reservation,Reserve Court: Doubles,Court Fees (6002),13.0,13.0,0.0,6736668,,REDACTED,(MONTHLY) Bread & Butter - ($25 + Tax),2025-06-23T20:00:00,2025-06-23T22:00:00,Court #1,,Credit Card,Fee,63656063,2025-06-23T19:53:51.503,2025-07-01T13:32:47.42,REDACTED,
Reservation,Reserve Court: Doubles,Court Fees (6002),23.0,23.0,0.0,5831830,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-06-23T20:00:00,2025-06-23T22:00:00,Court #1,,Credit Card,Fee,63656064,2025-06-23T19:53:51.52,2025-07-01T13:32:52.827,REDACTED,
Reservation,Reserve Court: Doubles,Court Fees (6002),23.0,23.0,0.0,5506839,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-06-23T20:00:00,2025-06-23T22:00:00,Court #1,,Credit Card,Fee,63656791,2025-06-23T20:00:09.873,2025-07-01T13:33:00.497,REDACTED,
Reservation,Reserve Court: Doubles,Court Fees (6002),23.0,23.0,0.0,5507084,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-06-23T20:00:00,2025-06-23T22:00:00,Court #1,,Credit Card,Fee,63656792,2025-06-23T20:00:09.887,2025-07-01T13:33:07.643,REDACTED,
Account Recurring Fee,Recurring Fee - Paddle Demo Program,Other POS (6006),10.66,10.0,0.66,4656860,,REDACTED,Basic Membership w. Payment Plan,2025-06-26T00:00:00,2025-07-25T00:00:00,,,Credit Card,Fee,63674078,2025-06-24T01:39:50.987,2025-07-26T12:00:46.407,REDACTED,
Lesson,Private Lesson,Lesson Fees (6003),100.0,100.0,0.0,5174644,,REDACTED,Sweet & Sour - Seniors,2025-07-03T13:00:00,2025-07-03T14:00:00,Court #5,C. Dardani,Credit Card,Fee,63680845,2025-06-24T07:40:31.403,2025-07-03T12:52:13.887,REDACTED,
Event Registration,All Levels w/ Challenge Court - ALL LEVELS Open Play - $20 Flat - Free with Basic & Premium Memberships,Organized Play Fees (6004),20.0,20.0,0.0,5028572,1220547.0,REDACTED,Bread & Butter Annual ($270 + Tax),2025-06-24T20:00:00,2025-06-24T23:59:00,"Court #1, Court #2, Court #3, Court #4, Court #5",,Credit Card,Fee,63737012,2025-06-24T18:01:17.31,2025-07-01T13:34:27.883,REDACTED,
Event Registration,Low Advanced - 3.75+ Open Play,Organized Play Fees (6004),17.0,17.0,0.0,4590271,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-06-24T18:00:00,2025-06-24T20:00:00,"Court #3, Court #4",,Credit Card,Fee,63741693,2025-06-24T18:45:57.133,2025-07-01T13:33:44.603,REDACTED,
Lesson,Private Lesson,Lesson Fees (6003),100.0,100.0,0.0,6621621,1729060.0,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-06-27T18:00:00,2025-06-27T19:00:00,Court #4,C. Cronheim,Credit Card,Fee,63765219,2025-06-25T00:09:08.24,2025-07-01T13:38:32.12,REDACTED,
Account Recurring Fee,Recurring Fee - Paddle Demo Program,Other POS (6006),10.66,10.0,0.66,5932002,1661131.0,REDACTED,Gympass- New Member,2025-06-27T00:00:00,2025-07-26T00:00:00,,,Credit Card,Fee,63766716,2025-06-25T01:31:18.07,2025-07-26T12:01:57.06,REDACTED,
Event Registration,Cross Club Events - Cross Club 3.5-4.0 Tryout,Court Fees (6002),20.0,20.0,0.0,7575234,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-07-02T20:00:00,2025-07-02T22:00:00,"Court #3, Court #4, Court #5, Court #6",,Credit Card,Fee,63823493,2025-06-25T17:05:28.2,2025-07-26T21:34:13.12,REDACTED,
Event Registration,Cross Club Events - Cross Club 3.0-3.5 Tryout,Court Fees (6002),20.0,20.0,0.0,3754359,,REDACTED,The Founders,2025-07-10T19:00:00,2025-07-10T21:00:00,"Court #1, Court #2",,Credit Card,Fee,63847116,2025-06-25T21:22:39.747,2025-07-10T18:43:58.473,REDACTED,
Event Registration,Cross Club Events - Cross Club 3.5-4.0 Tryout,Court Fees (6002),20.0,20.0,0.0,7476168,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-07-02T20:00:00,2025-07-02T22:00:00,"Court #3, Court #4, Court #5, Court #6",,Credit Card,Fee,63853516,2025-06-25T23:16:35.907,2025-07-02T19:57:49.67,REDACTED,
Event Registration,Intermediate - 3.0 - 3.5 Open Play,Organized Play Fees (6004),5.0,5.0,0.0,5506132,1408448.0,REDACTED,Basic Membership,2025-07-02T18:00:00,2025-07-02T20:00:00,"Court #6, Court #7, Court #8",,Credit Card,Fee,63863906,2025-06-26T06:18:11.953,2025-07-02T17:45:03.74,REDACTED,
Event Registration,Cross Club Events - Cross Club 3.0-3.5 Tryout,Court Fees (6002),20.0,20.0,0.0,5100435,,REDACTED,Sweet & Sour,2025-07-10T19:00:00,2025-07-10T21:00:00,"Court #1, Court #2",,Credit Card,Fee,63871615,2025-06-26T08:24:53.95,2025-07-10T18:43:39.43,REDACTED,
Event Registration,Intermediate - 3.0 - 3.5 Open Play,Organized Play Fees (6004),17.0,17.0,0.0,4280704,992516.0,REDACTED,Sweet & Sour,2025-07-02T18:00:00,2025-07-02T20:00:00,"Court #6, Court #7, Court #8",,Credit Card,Fee,63876232,2025-06-26T09:10:12.967,2025-07-02T06:55:13.6,REDACTED,
Reservation,Reserve Court: Doubles,Court Fees (6002),20.0,20.0,0.0,4070162,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-06-27T15:00:00,2025-06-27T17:00:00,Court #1,,Credit Card,Fee,63877539,2025-06-26T09:21:32.813,2025-07-01T13:35:05.927,REDACTED,
Reservation,Reserve Court: Doubles,Court Fees (6002),5.0,5.0,0.0,3633785,1983047.0,REDACTED,Basic - Founders w/ Payment,2025-06-27T15:00:00,2025-06-27T17:00:00,Court #1,,Credit Card,Fee,63877540,2025-06-26T09:21:32.843,2025-07-01T13:35:11.71,REDACTED,
Reservation,Reserve Court: Doubles,Court Fees (6002),20.0,20.0,0.0,3633785,1983047.0,REDACTED,Basic - Founders w/ Payment,2025-06-27T15:00:00,2025-06-27T17:00:00,Court #1,,Credit Card,Fee,63877540,2025-06-26T09:21:32.843,2025-07-01T13:36:00.58,REDACTED,
Reservation,Reserve Court: Doubles,Court Fees (6002),5.0,5.0,0.0,4177855,,REDACTED,Basic Membership w. Payment Plan,2025-06-27T15:00:00,2025-06-27T17:00:00,Court #1,,Credit Card,Fee,63877541,2025-06-26T09:21:32.873,2025-07-01T13:35:18.193,REDACTED,
Membership Fee,Membership Dues,Membership Sales (6001),26.66,25.0,1.65,4224908,996527.0,REDACTED,(MONTHLY) Bread & Butter - ($25 + Tax),2025-07-01T14:34:02.627,2025-07-31T15:34:02.627,,,Credit Card,Fee,63886453,2025-06-26T10:56:44.917,2025-07-01T07:24:20.363,REDACTED,
Membership Fee,Membership Dues,Membership Sales (6001),26.66,25.0,1.65,5887270,1525383.0,REDACTED,(MONTHLY) Bread & Butter - ($25 + Tax),2025-07-02T01:00:00,2025-08-01T02:00:00,,,Credit Card,Fee,63962708,2025-06-27T04:12:52.93,2025-07-01T07:24:23.293,REDACTED,
Membership Fee,Membership Dues,Membership Sales (6001),26.66,25.0,1.65,6459800,,REDACTED,(MONTHLY) Bread & Butter - ($25 + Tax),2025-07-02T14:24:22.67,2025-08-01T15:24:22.67,,,Credit Card,Fee,63962710,2025-06-27T04:12:53.103,2025-07-02T04:41:32.113,REDACTED,
Event Registration,Intermediate - 3.0 - 3.5 Open Play,Organized Play Fees (6004),17.0,17.0,0.0,5226527,1246385.0,REDACTED,(MONTHLY) Bread & Butter - ($25 + Tax),2025-07-02T18:00:00,2025-07-02T20:00:00,"Court #6, Court #7, Court #8",,Credit Card,Fee,63964659,2025-06-27T04:58:56.157,2025-07-02T17:47:14.197,REDACTED,
Reservation,Reserve Court: Singles,Court Fees (6002),10.0,10.0,0.0,4121929,,REDACTED,Basic Membership,2025-06-27T10:00:00,2025-06-27T12:00:00,Court #2,,Credit Card,Fee,63980919,2025-06-27T10:14:27.54,2025-07-01T13:34:52.443,REDACTED,
Reservation,Reserve Court: Doubles,Court Fees (6002),30.0,30.0,0.0,4308288,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-06-27T16:00:00,2025-06-27T18:00:00,Court #3,,Credit Card,Fee,63993770,2025-06-27T12:28:11.687,2025-07-01T13:37:21.347,REDACTED,
Reservation,Reserve Court: Doubles,Court Fees (6002),30.0,30.0,0.0,4354857,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-06-27T16:00:00,2025-06-27T18:00:00,Court #3,,Credit Card,Fee,63993784,2025-06-27T12:28:11.727,2025-07-01T13:37:30.457,REDACTED,
Reservation,Reserve Court: Doubles,Court Fees (6002),30.0,30.0,0.0,4240194,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-06-27T16:00:00,2025-06-27T18:00:00,Court #3,,Credit Card,Fee,63993786,2025-06-27T12:28:11.757,2025-07-01T13:37:41.507,REDACTED,
Reservation,Reserve Court: Doubles,Court Fees (6002),30.0,30.0,0.0,4398526,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-06-27T16:00:00,2025-06-27T18:00:00,Court #3,,Credit Card,Fee,63993790,2025-06-27T12:28:11.793,2025-07-01T13:37:50.23,REDACTED,
Event Registration,All Levels w/ Challenge Court - ALL LEVELS Open Play - $20 Flat - Free with Basic & Premium Memberships,Organized Play Fees (6004),20.0,20.0,0.0,7580085,,REDACTED,Gympass- New Member,2025-06-27T19:00:00,2025-06-27T22:00:00,"Court #3, Court #4, Court #5, Court #6, Court #7, Court #8",,Credit Card,Fee,64008872,2025-06-27T15:08:06.86,2025-07-01T13:39:38.62,REDACTED,
Reservation,Reserve Court: Three Person,Court Fees (6002),6.66,6.66,0.0,4656860,,REDACTED,Basic Membership w. Payment Plan,2025-06-27T15:00:00,2025-06-27T17:00:00,Court #2,,Credit Card,Fee,64014061,2025-06-27T16:03:40.197,2025-07-01T13:36:09.487,REDACTED,
Event Registration,All Levels w/ Challenge Court - ALL LEVELS Open Play - $20 Flat - Free with Basic & Premium Memberships,Organized Play Fees (6004),20.0,20.0,0.0,7591222,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-06-27T19:00:00,2025-06-27T22:00:00,"Court #3, Court #4, Court #5, Court #6, Court #7, Court #8",,Credit Card,Fee,64023072,2025-06-27T17:43:42.303,2025-07-01T13:39:32.417,REDACTED,
Reservation,Reserve Court: Singles,Court Fees (6002),20.0,20.0,0.0,4485616,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-06-27T18:30:00,2025-06-27T19:30:00,Court #1,,Credit Card,Fee,64024147,2025-06-27T17:55:34.457,2025-07-01T13:39:04.037,REDACTED,
Reservation,Reserve Court: Singles,Court Fees (6002),20.0,20.0,0.0,7591409,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-06-27T18:30:00,2025-06-27T19:30:00,Court #1,,Credit Card,Fee,64024148,2025-06-27T17:55:34.477,2025-07-01T13:39:10.823,REDACTED,
Event Registration,Cross Club Events - Cross Club 3.5-4.0 Tryout,Court Fees (6002),5.0,5.0,0.0,4918536,,REDACTED,Basic Membership w. Payment Plan,2025-07-02T20:00:00,2025-07-02T22:00:00,"Court #3, Court #4, Court #5, Court #6",,Credit Card,Fee,64043888,2025-06-27T22:22:42.257,2025-07-02T20:06:05.793,REDACTED,
Membership Fee,Membership Dues,Membership Sales (6001),26.66,25.0,1.65,4590271,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-07-03T00:00:00,2025-08-02T01:00:00,,,Credit Card,Fee,64053726,2025-06-28T05:17:25.817,2025-07-02T04:41:30.37,REDACTED,
Membership Fee,Membership Dues,Membership Sales (6001),26.66,25.0,1.65,6175788,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-07-03T12:54:53.197,2025-08-02T13:54:53.197,,,Credit Card,Fee,64053727,2025-06-28T05:17:26.537,2025-07-03T04:37:16.4,REDACTED,
Membership Fee,Membership Dues,Membership Sales (6001),26.66,25.0,1.65,7007034,,REDACTED,(MONTHLY) Bread & Butter - ($25 + Tax),2025-07-03T00:00:00,2025-08-02T01:00:00,,,Credit Card,Fee,64053728,2025-06-28T05:17:27.173,2025-07-02T04:41:33.71,REDACTED,
Event Registration,Intermediate - 3.0 - 3.5 Open Play,Organized Play Fees (6004),17.0,17.0,0.0,4391009,,REDACTED,Bread & Butter Annual ($270 + Tax),2025-07-02T18:00:00,2025-07-02T20:00:00,"Court #6, Court #7, Court #8",,Credit Card,Fee,64109245,2025-06-28T19:18:54.23,2025-07-02T17:45:27.56,REDACTED,
Account Recurring Fee,Recurring Fee - Paddle Demo Program,Other POS (6006),10.66,10.0,0.66,5756648,,REDACTED,(MONTHLY) Bread & Butter - ($25 + Tax),2025-07-01T00:00:00,2025-07-31T00:00:00,,,Credit Card,Fee,64122740,2025-06-29T03:04:38.707,2025-07-26T12:01:31.493,REDACTED,
Event Registration, High Intermediate - Ladies Night High Intermediate,Organized Play Fees (6004),17.0,17.0,0.0,3664709,,REDACTED,The Founders,2025-07-02T18:00:00,2025-07-02T20:00:00,"Court #3, Court #4, Court #5",,Credit Card,Fee,64131164,2025-06-29T08:12:08.677,2025-07-02T17:48:10.187,REDACTED,
Reservation,Reserve Court: Singles,Court Fees (6002),60.0,60.0,0.0,3765888,997345.0,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-07-05T12:00:00,2025-07-05T13:00:00,Court #3,,Credit Card,Fee,64133166,2025-06-29T08:57:02.98,2025-07-05T12:08:55.06,REDACTED,
Event Registration,All Levels w/ Challenge Court - All Levels Open Play,Organized Play Fees (6004),25.0,25.0,0.0,5195510,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-07-04T11:00:00,2025-07-04T13:00:00,"Court #1, Court #2, Court #3, Court #4, Court #5",,Credit Card,Fee,64133355,2025-06-29T09:00:14.457,2025-07-04T11:27:12.013,REDACTED,
Reservation,Reserve Court: Doubles,Court Fees (6002),5.0,5.0,0.0,4473078,1730164.0,REDACTED,Basic Membership w. Payment Plan,2025-07-06T07:00:00,2025-07-06T09:00:00,Court #8,,Credit Card,Fee,64139858,2025-06-29T10:39:10.15,2025-07-06T07:06:11.15,REDACTED,
Reservation,Reserve Court: Doubles,Court Fees (6002),5.0,5.0,0.0,4294056,,REDACTED,Basic Membership w. Payment Plan,2025-07-06T07:00:00,2025-07-06T09:00:00,Court #8,,Credit Card,Fee,64139859,2025-06-29T10:39:10.17,2025-07-06T07:06:17.327,REDACTED,
Reservation,Reserve Court: Doubles,Court Fees (6002),5.0,5.0,0.0,4620173,,REDACTED,Basic Membership w. Payment Plan,2025-07-06T07:00:00,2025-07-06T09:00:00,Court #8,,Credit Card,Fee,64139860,2025-06-29T10:39:10.19,2025-07-06T07:06:23.96,REDACTED,
Reservation,Reserve Court: Doubles,Court Fees (6002),5.0,5.0,0.0,4473100,1730164.0,REDACTED,Basic Membership w. Payment Plan,2025-07-06T07:00:00,2025-07-06T09:00:00,Court #8,,Credit Card,Fee,64139861,2025-06-29T10:39:10.21,2025-07-06T07:06:29.563,REDACTED,
Event Registration,Advanced Invitational Group - Invitational Group,Organized Play Fees (6004),20.0,20.0,0.0,3633753,,REDACTED,The Founders,2025-07-02T19:00:00,2025-07-02T22:00:00,"Court #1, Court #2",,Credit Card,Fee,64144694,2025-06-29T11:42:03.167,2025-07-26T11:59:22.967,REDACTED,
Event Registration,Advanced Invitational Group - Invitational Group,Organized Play Fees (6004),20.0,20.0,0.0,3969944,1729060.0,REDACTED,Sweet & Sour,2025-07-02T19:00:00,2025-07-02T22:00:00,"Court #1, Court #2",,Credit Card,Fee,64144695,2025-06-29T11:42:03.2,2025-07-02T19:00:10.787,REDACTED,
Event Registration,Advanced Invitational Group - Invitational Group,Organized Play Fees (6004),20.0,20.0,0.0,3858577,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-07-02T19:00:00,2025-07-02T22:00:00,"Court #1, Court #2",,Credit Card,Fee,64144697,2025-06-29T11:42:03.277,2025-07-02T18:59:54.697,REDACTED,
Event Registration,Advanced Invitational Group - Invitational Group,Organized Play Fees (6004),20.0,20.0,0.0,4298082,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-07-02T19:00:00,2025-07-02T22:00:00,"Court #1, Court #2",,Credit Card,Fee,64144698,2025-06-29T11:42:03.31,2025-07-02T19:01:37.653,REDACTED,
Event Registration,Intro to Pickleball - Intro to Pickleball,Organized Play Fees (6004),10.0,10.0,0.0,7602741,,REDACTED,DROP IN (FREE Membership - $10 When You Come),2025-07-02T17:00:00,2025-07-02T18:00:00,,,Credit Card,Fee,64148780,2025-06-29T12:28:46.41,2025-07-01T11:41:22.737,REDACTED,
